# id	left	top	right	bottom	texture_id
[SPRITES]

################  BLANK SPRITE ################
1064300	88	128	103	143	30

################  ENDING TRANSITION ################
1060001	64	112	79	127	30
1060002	112	96	127	111	30

################  SHADOW ################
1060130	80	112	95	127	30
1060230	80	128	95	143	30
1060310	96	128	95	111	30
1060320	112	128	95	127	30
1060330	128	128	95	143	30

################  ORANGE ################
################  TOP ################
1061110	0	32	15	47	30
1061120	16	32	31	47	30
1061130	32	32	47	47	30
################  MIDDLE ################
1061210	0	48	15	63	30
1061220	16	48	31	63	30
1061230	32	48	47	63	30
################  BOTTOM ################
1061310	0	64	15	79	30
1061320	16	64	31	79	30
1061330	32	64	47	79	30

################  BLUE ################
################  TOP ################
1062110	48	32	63	47	30
1062120	64	32	79	47	30
1062130	80	32	95	47	30
################  MIDDLE ################
1062210	48	48	63	63	30
1062220	64	48	79	63	30
1062230	80	48	95	63	30
################  BOTTOM ################
1062310	48	64	63	79	30
1062320	64	64	79	79	30
1062330	80	64	95	79	30

################  GREEN ################
################  TOP ################
1063110	96	32	111	47	30
1063120	112	32	127	47	30
1063130	128	32	143	47	30
################  MIDDLE ################
1063210	96	48	111	63	30
1063220	112	48	127	63	30
1063230	128	48	143	63	30
################  BOTTOM ################
1063310	96	64	111	79	30
1063320	112	64	127	79	30
1063330	128	64	143	79	30

################  WHITE ################
################  TOP ################
1064110	0	80	15	95	30
1064120	16	80	31	95	30
1064130	32	80	47	95	30
################  MIDDLE ################
1064210	0	96	15	111	30
1064220	16	96	31	111	30
1064230	32	96	47	111	30

################  BLACK ################
################  TOP ################
1065110	96	80	111	95	30
1065120	112	80	127	95	30
1065130	128	80	143	95	30
################  MIDDLE ################
1065210	96	96	111	111	30
1065220	112	96	127	111	30
1065230	128	96	143	111	30
################  BOTTOM ################
1065310	96	112	111	127	30
1065320	112	112	127	127	30
1065330	128	112	143	127	30
