# id	left	top	right	bottom	texture_id
[SPRITES]
# FRAME
1120000	12	128	163	155	2
#BACKGROUND
1120001	1	199	261	250	2

#NUMBERS 112000X = NUMBER X
1120010	77	31	84	38	2
1120011	87	31	94	38	2
1120012	97	31	104	38	2
1120013	107	31	114	38	2
1120014	117	31	124	38	2
1120015	127	31	134	38	2
1120016	137	31	144	38	2
1120017	147	31	154	38	2
1120018	157	31	164	38	2
1120019	167	31	174	38	2

#0 = LOW, 1 = HIGH
#P METER ARROW
1120020	91	162	98	169	2
1120021	64	162	71	169	2

#P METER TAG
1120030	100	162	115	169	2
1120031	73	162	88	169	2

#MARIO ICON
1120040	16	161	31	168	2

#LUIGI ICON
1120041	16	171	31	178	2

#CARD BACKGROUND
1120050	172	128	243	155	2

#CARD
#MUSHROOM
1120051	184	159	207	186	2
#FLOWER
1120052	208	159	231	186	2
#STAR
1120053	232	159	255	186	2

#PAUSE
1120060	0	301	71	316	2

#COURSE CLEAR
1120070	55	264	182	271	2

#YOU GOT A CARD
1120080	55	280	210	287	2

[ANIMATIONS]
1120000	1120030	100	1120031	100
